Landing Page,Channel,Sessions,Engaged Sessions,Conversions,Engagement Rate
"/","Organic Search","24594","22863","0","0.92961697975115887"
"/mosquito-netting","Organic Search","17570","16482","0","0.93807626636311892"
"(not set)","Organic Search","8568","626","0","0.073062558356676008"
"/screened-in-decks","Organic Search","8191","7697","0","0.93968990355267978"
"/clear-vinyl-plastic-patio-enclosures","Organic Search","5376","4679","0","0.87034970238095233"
"/pergola-screen-curtains","Organic Search","5243","4965","0","0.94697692160976543"
"/boat-screens","Organic Search","4688","4411","0","0.9409129692832765"
"/plan-screen-porch/mesh-and-colors","Organic Search","4385","4170","0","0.95096921322691"
"/awning-screen-enclosures","Organic Search","3955","3776","0","0.95474083438685209"
"/screened-porch","Organic Search","3403","2814","0","0.826917425800764"
"/screen-patio","Organic Search","3394","3057","0","0.9007071302298173"
"/theater-scrims","Organic Search","3290","3048","0","0.92644376899696046"
"/garage-door-screens","Organic Search","3188","3063","0","0.96079046424090342"
"/mosquito-netting/fasteners-and-rigging-ideas","Organic Search","2957","2783","0","0.94115657761244509"
"/screened-porch-enclosures","Organic Search","2898","2810","0","0.96963423050379571"
"/no-see-um-netting-screen","Organic Search","2837","2643","0","0.93161790623898488"
"/cart","Organic Search","2589","2474","0","0.95558130552336806"
"/gazebo-screen-curtains","Organic Search","2564","2383","0","0.9294071762870515"
"/outdoor-projection-screens","Organic Search","2443","2283","0","0.9345067539909947"
"/theatre-scrim","Organic Search","2171","2009","0","0.92538000921234453"
"/plan-screen-porch/outdoor-curtain-tracking","Organic Search","1993","1899","0","0.95283492222779731"
"/roll-up-shade-screens","Organic Search","1789","1571","0","0.8781442146450531"
"/porch-vinyl-curtains","Organic Search","1743","1652","0","0.94779116465863456"
"/plan-screen-porch/sealing-the-base","Organic Search","1680","1626","0","0.96785714285714286"
"/french-door-screens","Organic Search","1647","1533","0","0.930783242258652"
"/patio-winterize","Organic Search","1632","1526","0","0.93504901960784315"
"/options","Organic Search","1546","1412","0","0.91332470892626128"
"/mosquito-net","Organic Search","1508","1442","0","0.95623342175066317"
"/porch-vinyl-panels","Organic Search","1314","1211","0","0.921613394216134"
"/mosquito-curtains-instant-quote","Organic Search","1171","1027","0","0.87702818104184455"
"/yardistry-gazebo-curtains","Organic Search","1159","1080","0","0.93183779119930976"
"/project-gallery/mosquito-netting-1","Organic Search","880","786","0","0.89318181818181819"
"/mosquito-curtains-tracking-installation","Organic Search","833","773","0","0.92797118847539017"
"/shade-screen-mesh","Organic Search","774","700","0","0.90439276485788112"
"/plan-screen-porch/magnetic-doorways","Organic Search","724","682","0","0.94198895027624308"
"/install","Organic Search","704","680","0","0.96590909090909094"
"/a-new-mulligan-blocker-for-golf-course-residents","Organic Search","699","675","0","0.96566523605150212"
