Page Path,Page Title,Pageviews,Avg Session Duration (s),Engagement Rate,Conversions
"/plan-screen-porch/outdoor-curtain-tracking/","Outdoor Curtain Tracking - Mosquito Curtains","43561","188.01615434486112","0.95320784084829024","0"
"/plan-screen-porch/mesh-and-colors/","Mesh and Colors - Mosquito Curtains","40652","157.14670864297852","0.956279932025336","0"
"/plan-screen-porch/magnetic-doorways/","Magnetic Doorways - Mosquito Curtains","25066","202.78315954961644","0.95536151460747509","0"
"/plan-screen-porch/","Plan Screen Porch - Mosquito Curtains","12319","92.930562538737291","0.98625771758613823","0"
"/plan-screen-porch/3-sided-exposure/","3 Sided Exposure - Mosquito Curtains","5329","163.85122523128047","0.97120070890562693","0"
"/plan-screen-porch/sealing-the-base/","Sealing The Base - Mosquito Curtains","4361","147.88440241662795","0.93079424059451932","0"
"/plan-screen-porch/3-sided-exposure/regular-columns-tracking/","Regular Columns Tracking - Mosquito Curtains","2752","156.87336712088754","0.95103289977046668","0"
"/plan-screen-porch/single-sided-exposure/","Single Sided Exposure - Mosquito Curtains","2715","201.20818420810315","0.95580110497237569","0"
"/plan-screen-porch/2-sided-exposure/","2 Sided Exposure - Mosquito Curtains","2206","141.73391234750267","0.96280552603613179","0"
"/plan-screen-porch/2-sided-exposure/regular-columns-velcro/","Regular Columns Velcro - Mosquito Curtains","1467","132.16846129842182","0.92969870875179339","0"
"/plan-screen-porch/4-plus-sided-exposure/","4 Plus Sided Exposure - Mosquito Curtains","1428","142.10103195881385","0.97528830313014825","0"
"/plan-screen-porch/3-sided-exposure/regular-columns-velcro/","Regular Columns Velcro - Mosquito Curtains","1132","520.8749766673152","0.93190661478599224","0"
"/plan-screen-porch/2-sided-exposure/regular-columns-tracking/","Regular Columns Tracking - Mosquito Curtains","1055","166.39845452459014","0.96311475409836067","0"
"/plan-screen-porch/free-standing/","Free Standing - Mosquito Curtains","857","59.64258305586592","0.95530726256983245","0"
"/plan-screen-porch/3-sided-exposure/irregular-columns-tracking/","Irregular Columns Tracking - Mosquito Curtains","843","197.6938183","0.93684210526315792","0"
"/plan-screen-porch/4-plus-sided-exposure/regular-columns-tracking/","Regular Columns Tracking - Mosquito Curtains","714","186.87934318879056","0.94100294985250732","0"
"/plan-screen-porch/2-sided-exposure/irregular-columns-tracking/","Irregular Columns Tracking - Mosquito Curtains","377","147.87730131073445","0.9152542372881356","0"
"/plan-screen-porch/4-plus-sided-exposure/regular-columns-velcro/","Regular Columns Velcro - Mosquito Curtains","286","129.12263362500002","0.9296875","0"
"/plan-screen-porch/mesh-and-colors/","Maschen und Farben - Moskitovorhänge","171","68.143204868421051","0.97368421052631582","0"
"/plan-screen-porch/3-sided-exposure/irregular-columns-velcro/","Irregular Columns Velcro - Mosquito Curtains","167","75.96280455405406","0.98648648648648651","0"
"/plan-screen-porch/4-plus-sided-exposure/screen-a-wrap-around-porch-with-odd-shaped-columns-and-a-tracking-attachment/","Irregular Columns Tracking - Mosquito Curtains","153","158.50012104054053","0.95945945945945943","0"
"/plan-screen-porch/mesh-and-colors/","Maille et couleurs - Rideaux anti-moustiques","147","89.638501054794531","0.93150684931506844","0"
"/plan-screen-porch/2-sided-exposure/irregular-columns-velcro/","Irregular Columns Velcro - Mosquito Curtains","88","90.200533939393935","1","0"
"/plan-screen-porch/mesh-and-colors/","Mallas y Colores - Cortinas Mosquiteras","63","121.77314340000001","0.96","0"
"/plan-screen-porch/mesh-and-colors/","Malla y colores - Cortinas antimosquitos","62","107.35467202083333","0.9375","0"
"/plan-screen-porch/mesh-and-colors/","Mesh en kleuren - Muggengordijnen","61","130.62611411538461","0.98076923076923073","0"
"/plan-screen-porch/4-plus-sided-exposure/irregular-columns-velcro/","Irregular Columns Velcro - Mosquito Curtains","53","59.629468208333329","1","0"
"/plan-screen-porch/mesh-and-colors/","Сетка и цвета - Москитные шторы","53","129.15281868235294","0.9882352941176471","0"
"/plan-screen-porch/mesh-and-colors/","Siatka i kolory - Zasłony przeciw komarom","51","77.75239031818181","0.90909090909090906","0"
"/plan-screen-porch/mesh-and-colors/","Siatka i kolory - Moskitiery","30","110.37981298275862","0.94827586206896552","0"
"/plan-screen-porch/mesh-and-colors/","Сетка и цвета — противомоскитные шторы","30","102.16224033333333","1","0"
"/plan-screen-porch/mesh-and-colors/null","Page not found - Mosquito Curtains","16","147.00228775","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","Suivi des rideaux extérieurs - Rideaux anti-moustiques","12","149.93726691666666","1","0"
"/plan-screen-porch/tents-and-awnings/","Tents and Awnings - Mosquito Curtains","10","5.202856","1","0"
"/plan-screen-porch/mesh-and-colors/","Mesh und Farben - Moskitovorhänge","7","134.67942969230771","0.94871794871794868","0"
"/plan-screen-porch/mesh-and-colors/","Mesh och färger - Mygggardiner","6","71.66847625","1","0"
"/plan-screen-porch/how-to-order/","How To Order - Mosquito Curtains","5","4.909205","0.66666666666666663","0"
"/plan-screen-porch/magnetic-doorways/","(not set)","4","1.5818586666666665","0.5","0"
"/plan-screen-porch/magnetic-doorways/","Portes magnétiques – Rideaux anti-moustiques","4","53.454242","1","0"
"/plan-screen-porch/magnetic-doorways/null","Page not found - Mosquito Curtains","4","12.89512","1","0"
"/plan-screen-porch/mesh-and-colors/","Mesh und Farben – Moskitovorhänge","4","209.219222","1","0"
"/plan-screen-porch/mesh-and-colors/","Moustiquaires en maille et couleurs","4","174.20396433333335","0.94117647058823528","0"
"/plan-screen-porch/mesh-and-colors/","Rete e Colori - Tende Antizanzare","4","21.9405025","1","0"
"/plan-screen-porch/mesh-and-colors/","شبكة وألوان - ستائر البعوض","4","21.66180375","1","0"
"/plan-screen-porch/mesh-and-colors/","জাল এবং রং - মশার পর্দা","4","44.853504","1","0"
"/plan-screen-porch/mesh-and-colors/","మెష్ మరియు రంగులు - దోమల తెరలు","4","16.049235","1","0"
"/plan-screen-porch/outdoor-curtain-tracking/","야외 커튼 추적 - 모기 커튼","4","218.046225","1","0"
