Page Path,Page Title,Pageviews,Avg Session Duration (s),Engagement Rate
"/a-new-mulligan-blocker-for-golf-course-residents/","A New Mulligan Blocker For Golf Course Residents - Mosquito Curtains","2096","91.3926127848223","0.92315081652257447"
"/blog/","Blog - Mosquito Curtains","1395","15.177030679354095","0.65859284890426761"
"/mosquito-enclosures-for-decks/","Mosquito Enclosures For Decks - Mosquito Curtains","1294","105.04697862962963","0.94598765432098764"
"/blog/","(not set)","539","4.026249947811448","0.44781144781144783"
"/how-to-cope-with-pollen-in-porches-and-gazebos/","How to Cope With Pollen in Porches and Gazebos - Mosquito Curtains","420","81.093332553571415","0.8973214285714286"
"/why-do-mosquitoes-seem-more-intense-in-northern-climates/","Why Do Mosquitoes Seem More Intense In Northern Climates? - Mosquito Curtains","394","114.1380768592233","0.93203883495145634"
"/bond-sales-mosquito-curtains-and-a-rodeo-ghost/","Bond Sales, Mosquito Curtains And A Rodeo Ghost. - Mosquito Curtains","290","265.970926886076","0.879746835443038"
"/history-of-mans-deadliest-killer/","History of Man’s Deadliest Killer - Mosquito Curtains","208","109.17067032380953","0.8666666666666667"
"/gazebos-then-and-now/","Gazebos: Then and Now - Mosquito Curtains","188","80.127570103773579","0.86792452830188682"
"/history-of-mosquitos/","Screen Patio Enclosures, Clear Vinyl Winter Panels & Mosquito Netting","74","4.7154552926829272","0.82926829268292679"
"/mosquito-curtains/blog","Blog - Mosquito Curtains","73","4.3853443571428574","0.8571428571428571"
"/blog/2/","Blog - Mosquito Curtains","67","20.47455309375","0.8125"
"/where-is-the-mosquito-capitol/","Where Is The Mosquito Capitol? - Mosquito Curtains","53","22.94079984375","0.6875"
"/finally-a-new-storm-proof-screening/","Finally, A New Storm Proof Screening? - Mosquito Curtains","40","50.3294036","0.95"
"/dear-martha-stewart/","Dear Martha Stewart - Mosquito Curtains","38","38.65189095","0.95"
"/is-your-porch-too-beautiful-to-screen/","Is Your Porch Too Beautiful To Screen? - Mosquito Curtains","36","155.86236289473686","0.89473684210526316"
"/teaching-children-that-work-is-good/","Teaching Children That “Work is Good"" - Mosquito Curtains","23","25.561814916666666","0.91666666666666663"
"/a-very-cool-project-for-kids-theyll-remember-it-forever/","A Very Cool Project For Kids (They'll Remember It Forever) - Mosquito Curtains","20","17.288606785714286","0.5714285714285714"
"/air-lines-explore-screen-doors-on-aircraft/","Air Lines Explore Screen Doors On Aircraft - Mosquito Curtains","17","9.4712090909090918","0.72727272727272729"
